name_zh,bgg_id,bgg_query,name_en_override,category_zh,alias_zh,price_msrp_twd,price_twd,used_price_twd,price_note,used_note,manual_override,stock,description,image_override,image_version_id,,,,
ZIP ZAP,117814,,,,,450,,250,,,1,1,,,,,,,
VYE,142239,,,,,,,,,,,1,,,,,,,
Uno疊疊樂,2821,,,,,799,,,,,1,1,,,,,,,
UNO SHOW'EM NO MERCY,399088,,,,,469,,,,,1,1,,,,,,,
UNO,2223,,,,,269,,,,,1,1,,,,,,,
Whoa dominoes,2394,,,,,625,,500,,,1,1,,,,,,,
yocto loto,,,,,,,,,,,,,,,,,,,
The frog prince,,,,,,,,,,,,,,,,,,,
Solo,3347,,,,,250,,120,,,1,2,Swan Panasia Chinese edition 2013,https://cf.geekdo-images.com/Q-YgMsvL4P2vWjSx1qHi0w__small/img/wXMxineQZz0mSYBbBmVooyFTvTw=/fit-in/200x150/filters:strip_icc()/pic2390725.png,265142,,,,
Solo,,,,,,,,,,,,,,,,,,,
Sifaka,166246,,,,,,,300,,,1,1,,,,,,,
SEVEN!,105866,,,,,490,,,,,1,,Chinese edition,https://cf.geekdo-images.com/11_4ft9nWaMW9sTrTr-m8w__small@2x/img/g8Bo8c8hrUeWanMi2a7qGWlh0jA=/fit-in/400x300/filters:strip_icc()/pic5531526.jpg,517784,,,,
SET,1198,,,,,590,,354,,,1,5,,https://cf.geekdo-images.com/Dzz6QN5VZvMfR0yA4CW4JA__small@2x/img/U8VpSePwrcW6kbYThGCYcgwZds8=/fit-in/400x300/filters:strip_icc()/pic4120020.jpg,,,,,
SET,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,
Red7,161417,,,,,490,,354,,,1,1,,https://cf.geekdo-images.com/DZjCvkOv4u4yrIb5vbZXdw__small@2x/img/-S1CVkUlV4R_2pW8Y9_PiZg349s=/fit-in/400x300/filters:strip_icc()/pic3002342.jpg,,,,,
Ranking,80942,,,,,1280,,768,,,1,1,,https://cf.geekdo-images.com/ybE6_MilIX9a0yXKSx8WWA__small@2x/img/7AUcnLjAdRU9Az2YmPp6K3j13UU=/fit-in/400x300/filters:strip_icc()/pic819469.jpg,61093,,,,
QWINTO,183006,,,,,600,,360,,,1,2,,,,,,,
QWINTO,,,,,,,,,,,,,,,,,,,
Quibbit,209849,,,,,650,,390,,,1,1,,https://cf.geekdo-images.com/Me6h25HoQnUagVTweBRu1g__small@2x/img/D12LcObNnFSCIICj-uzsUoMNXZU=/fit-in/400x300/filters:strip_icc()/pic3198237.jpg,,,,,
pony run,224993,,,,,550,,330,,,1,1,,https://cf.geekdo-images.com/yH0Ayf6TgZSjAFMxiGds9A__small/img/F37koiy_5xcdAybqf9QZvNqqj7U=/fit-in/200x150/filters:strip_icc()/pic3504334.jpg,,,,,
Pinguin Picknick,11782,,,,,690,,414,,,1,2,,https://cf.geekdo-images.com/mZXOIcWV4AAjrBwUhHy9Mw__small@2x/img/yYYAfPCskmJKaktUncp65UkQH1I=/fit-in/400x300/filters:strip_icc()/pic775862.jpg,,,,,
Pinguin Picknick,,,,,,,,,,,,,,,,,,,
Petits chevaux - Ludo,2136,,,,,690,,414,,,1,1,,https://www.bcd-jeux.fr/57664-pdt_771/petits-chevaux-ludo-djeco.jpg,,,,,
Ozo王大作戰,233565,,,,,490,,294,,,1,1,,https://cf.geekdo-images.com/HBsAixuHrB1rPxv7OWpfDA__small@2x/img/dWovHUgtqgcq5wRiNbV-kLgBKYg=/fit-in/400x300/filters:strip_icc()/pic3826338.png,,,,,
OUCH!,,,,,,490,,294,,,1,3,,https://github.com/TELIFUJ/tabletop-paradise/blob/main/public/images/1471492171-1615310324_n.jpg?raw=true,,,,,
OUCH!,,,,,,,,,,,,,,,,,,,
OUCH!,,,,,,,,,,,,,,,,,,,
OUCH!,,,,,,,,,,,,,,,,,,,
orchard,5770,,,,,2100,,1260,,,1,1,,,,,,,
Office 21,137789,,,,,390,,234,,,1,2,,https://github.com/TELIFUJ/tabletop-paradise/blob/main/public/images/5ab909bd326fa9033cea187b_Office21_Box_3D-p-800.jpeg?raw=true,,,,,
Office 21,,,,,,,,,,,,,,,,,,,
NANU,30951,,,,,490,,294,,,1,2,,https://cf.geekdo-images.com/ANOFVaeWMTG2g9qQgnvfvQ__small@2x/img/_VW4borDmUa6MqXO7UgpPTGmtcU=/fit-in/400x300/filters:strip_icc()/pic697952.jpg,,,,,
NANU,,,,,,,,,,,,,,,,,,,
Nain jaune,,,,,,,,,,,,,,,,,,,
Moo斯密碼,126771,,,,,499,,300,,,1,1,,https://cf.geekdo-images.com/ww5tDCvOxLPNRtrDAmcVKA__small@2x/img/d6UunPRAj7oCjvMWe6Mq8GiYUUI=/fit-in/400x300/filters:strip_icc()/pic2034497.jpg,,,,,
Moo斯密碼,,,,,,,,,,,,,,,,,,,
MIX IT,177843,,,,,490,,294,,,1,1,,,,,,,
MIX IT,,,,,,,,,,,,,,,,,,,
Mini Shiver-stone Castle,,,,,,,,,,,,,,,,,,,
Mauseschlau & Bärenstark Wissen und Lachen – Deutschland,174297,,,,,,,200,,,1,1,,,,,,,
LOOT,770,,,,,390,,234,,,1,1,,https://cf.geekdo-images.com/bP5qWRFDaKq33_P4JdAekw__small@2x/img/p4wPjfu-4zLU-dEuNHQFWfyb0p0=/fit-in/400x300/filters:strip_icc()/pic2240856.jpg,,,,,
little monster,,,,,,,,,,,,,,,,,,,
little fox,,,,,,,,,,,,,,,,,,,
Lighthouse adventure,183243,,,,,,,400,,,1,1,,https://cf.geekdo-images.com/mt1TheedAtoPo2tlgfwItA__small@2x/img/XEqPhRcz58WAWdTdx0UhkGvBPS0=/fit-in/400x300/filters:strip_icc()/pic2653376.jpg,,,,,
legespiel obst,,,,,,,,,,,,,,,,,,,
laundry Day,225354,,,,,490,,234,,,1,1,,https://github.com/TELIFUJ/tabletop-paradise/blob/main/public/images/c51a2be5e992607ae153f0d3558c2f74.jpg?raw=true,,,,,
La Boca,136280,,,,,,,,,,1,,,,,,,,
KS亡者神抽,149155,,,,,,,,,,1,1,,https://cf.geekdo-images.com/f11qdOFEnn1fcOZ7M-rylg__small@2x/img/f0pCzZu3yZ5r8nt-ZGjsfckkPlU=/fit-in/400x300/filters:strip_icc()/pic2379664.jpg,,,,,
Kombat Kittens,156746,,,,,600,,360,,,1,1,,,,,,,
K2,73761,,,,,1890,,,,,1,1,,https://cf.geekdo-images.com/BxDsGLe-9LE_qG_ryzZsbQ__small@2x/img/uVGdKtg752BrrZuRR_NxL47xd3o=/fit-in/400x300/filters:strip_icc()/pic2436550.png,,,,,
Hector Tayleplufor,202565,,,,,1080,,648,,,1,1,,,,,,,
HATS OFF,,,,,,,,,,,,,,,,,,,
Gruselino,1307,,,,,490,,294,,,1,1,,https://cf.geekdo-images.com/IVcoBZA2OZDHsW8wGwQX2g__small@2x/img/WZLnWVyiwDu2BwfmpwXGGvh63uM=/fit-in/400x300/filters:strip_icc()/pic4518200.jpg,,,,,
Grand prix,,,,,,,,,,,,,,,,,,,
GHOST CATCHER,,,,,,,,,,,,,,,,,,,
G同鴨搶,2569,,,,,790,,,,,1,,,https://cf.geekdo-images.com/QcdWPpsxHN5ecimvIpLLtA__small@2x/img/Daqlljmoj2OpvzAt-YBraCII7zI=/fit-in/400x300/filters:strip_icc()/pic6907065.jpg,,,,,
FUSION,103236,,,,,390,,234,,,1,2,,,,,,,
FUSION,103236,,,,,390,,234,,,1,1,,https://cf.geekdo-images.com/0K2iadRs2BrfA5VMWiNtdw__small@2x/img/S2ALTb1s6BFmu6ZXmYWaOMbFVBg=/fit-in/400x300/filters:strip_icc()/pic1291108.jpg,,,,,
FUSION,,,,,,,,,,,,,,,,,,,
FUSION,,,,,,,,,,,,,,,,,,,
FINDING DORY,294697,,,,,690,,414,,,1,1,,,,,,,
"Fex, look smart!",,,,,,,,,,,,,,,,,,,
Fastrack,41762,,,,,600,,,,,1,,,,,,,,
DOS遊戲卡,246701,,,,,299,,,,,1,,,,,,,,
Ding~上菜囉(桌遊+繪本),,,,,,,,,,,,,,,,,,,
Ding~上菜囉,,,,,,,,,,,,,,,,,,,
der große diktator,,,,,,,,,,,,,,,,,,,
Dead Man's Treasure,16144,,,,,1000,,,,,1,,,https://cf.geekdo-images.com/ywOZQIvN8SAmRsYOV_BT4Q__small@2x/img/4gzD9SXKqa1wVdTj85Cc-7zJ3Vw=/fit-in/400x300/filters:strip_icc()/pic241922.jpg,,,,,
DC超級英雄,125678,,,,,1250,,,,,1,,,https://cf.geekdo-images.com/FaOtgk6Jh_H-IoHjWyM7FA__small@2x/img/VUuyayUeFOC7pFS979N5HYRHnwQ=/fit-in/400x300/filters:strip_icc()/pic3086041.png,,,,,
Dancing dice,10756,,,,,800,,,,,1,,,,,,,,
CV人生規劃,143986,,,,,1320,,,,,1,,,,,,,,
