bgg_mechanism_en,mechanism_zh
Acting,演技／表演
Action / Event,行動／事件
Action Drafting,行動選擇（輪抽）
Action Points,行動點
Action Queue,行動序列
Action Retrieval,行動取回
Action Timer,行動計時
Advantage Token,優勢指示物
Alliances,同盟
Area Majority / Influence,區域控制
Area Movement,區域移動
Area-Impulse,區域脈衝
Auction / Bidding,競標
Auction Compensation,競標補償
Auction: Dexterity,技巧競標
Auction: Dutch,荷蘭式競標
Auction: Dutch Priority,荷蘭式優先
Auction: English,英式競標
Auction: Fixed Placement,固定出價位
Auction: Multiple Lot,多標的競標
Auction: Once Around,單圈競標
Auction: Sealed Bid,密封標
Auction: Turn Order Until Pass,依序出價至棄權
Automatic Resource Growth,資源自動成長
Betting and Bluffing,下注與唬人
Bias,偏誤
Bids As Wagers,下注式出價
Bingo,賓果
Bribery,賄賂
Campaign / Battle Card Driven,戰役／卡驅動
Card Play Conflict Resolution,出牌解衝突
Catch the Leader,追趕領先者
Chaining,連鎖
Chit-Pull System,指示物抽取
Closed Drafting,封閉輪抽
Closed Economy Auction,封閉經濟競標
Command Cards,指揮卡
Commodity Speculation,商品投機
Communication Limits,溝通限制
Connections,連線／連結
Constrained Bidding,限制式競標
Contracts,合約
Cooperative Game,合作
Crayon Rail System,蠟筆鐵道
Critical Hits and Failures,暴擊與失誤
Cube Tower,方塊塔
Deck Construction,牌庫構築
Deck, Bag, and Pool Building,卡／袋／池構築
Deduction,推理
Delayed Purchase,延遲購買
Dice Rolling,擲骰
Die Icon Resolution,骰面圖示結算
Different Dice Movement,異骰移動
Drawing,繪圖
Elapsed Real Time Ending,以實際時間結束
Enclosure,圍地
End Game Bonuses,終局加分
Events,事件
Finale Ending,終章結束
Flicking,彈射
Follow,跟隨
Force Commitment,強制承諾
Grid Coverage,格面覆蓋
Grid Movement,格子移動
Hand Management,手牌管理
Hexagon Grid,六角格
Hidden Movement,隱藏移動
Hidden Roles,隱藏身分
Hidden Victory Points,隱藏分數
Highest-Lowest Scoring,最高最低得分
Hot Potato,燙手山芋
I Cut, You Choose,我切你選
Impulse Movement,脈衝移動
Income,收入
Increase Value of Unchosen Resources,未選資源增值
Induction,歸納
Interrupts,中斷
Investment,投資
Kill Steal,搶頭功
King of the Hill,山頭爭霸
Ladder Climbing,升階攀爬
Layering,疊放
Legacy Game,傳承
Line Drawing,連線描繪
Line of Sight,視線
Loans,借貸
Lose a Turn,失去回合
Mancala,曼卡拉
Map Addition,地圖擴增
Map Deformation,地圖變形
Map Reduction,地圖縮減
Market,市集
Matching,配對
Measurement Movement,尺測移動
Melding and Splaying,攤牌與扇形
Memory,記憶
Minimap Resolution,小地圖解析
Modular Board,模組地圖
Move Through Deck,穿牌移動
Movement Points,移動點
Movement Template,移動模板
Moving Multiple Units,多單位移動
Multi-Use Cards,多用途卡
Multiple Maps,多重地圖
Narrative Choice / Paragraph,段落式敘事
Negotiation,談判
Neighbor Scope,鄰近範圍
Network and Route Building,路網建設
Once-Per-Game Abilities,每局一次能力
Open Drafting,公開輪抽
Order Counters,順序指示物
Ordering,排序
Ownership,所有權
Paper-and-Pencil,紙筆
Passed Action Token,棄權指示物
Pattern Building,圖案建構
Pattern Movement,圖案移動
Pattern Recognition,圖形辨識
Physical Removal,實體移除
Pick-up and Deliver,取貨運送
Pieces as Map,棋子即地圖
Player Elimination,玩家淘汰
Player Judge,玩家裁決
Point to Point Movement,點對點移動
Predictive Bid,預測出價
Prisoner's Dilemma,囚徒困境
Programmed Movement,程序移動
Push Your Luck,押注碰運氣
Questions and Answers,問與答
Race,競速
Random Production,隨機生產
Ratio / Combat Results Table,比率／戰果表
Re-rolling and Locking,重擲與鎖骰
Real-Time,即時制
Relative Movement,相對移動
Resource Queue,資源佇列
Resource to Move,資源換移動
Rock-Paper-Scissors,剪刀石頭布
Role Playing,角色扮演
Roles with Asymmetric Information,非對稱資訊角色
Roll / Spin and Move,擲骰／轉盤移動
Rondel,輪轉盤
Scenario / Mission / Campaign Game,劇本／任務／戰役
Score-and-Reset Game,記分重置
Secret Unit Deployment,秘密部署
Selection Order Bid,選擇順序出價
Semi-Cooperative Game,半合作
Set Collection,收集套組
Simulation,模擬
Simultaneous Action Selection,同時選擇行動
Singing,唱歌
Single Loser Game,單敗者遊戲
Slide / Push,滑動／推移
Solo / Solitaire Game,單人
Speed Matching,速度配對
Spelling,拼字
Square Grid,方格
Stacking and Balancing,疊放平衡
Stat Check Resolution,屬性檢定
Static Capture,靜態捕獲
Stock Holding,持股／股權
Storytelling,說故事
Sudden Death Ending,突然死亡結束
Tags,標籤
Take That,互害
Targeted Clues,定向線索
Team-Based Game,團隊
Tech Trees / Tech Tracks,科技樹／軌道
Three Dimensional Movement,三維移動
Tile Placement,板塊擺放
Track Movement,軌道移動
Trading,交易
Traitor Game,內鬼
Trick-taking,吃墩
Tug of War,拔河
Turn Order: Auction,回合順序：競標
Turn Order: Claim Action,搶先手
Turn Order: Pass Order,回合順序：棄權順序
Turn Order: Progressive,回合順序：逐步
Turn Order: Random,回合順序：隨機
Turn Order: Role Order,回合順序：角色順序
Turn Order: Stat-Based,回合順序：能力值
Turn Order: Time Track,回合順序：時間軌
Variable Phase Order,可變階段順序
Variable Player Powers,角色能力
Variable Set-up,可變設置
Victory Points as a Resource,分數作為資源
Voting,投票
Worker Placement,工人放置
Worker Placement with Dice Workers,骰子工人
Worker Placement, Different Worker Types,工人放置（多工種）
Zone of Control,控制區域
